frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,equalized_raw,equalized_smoothed,target
28.33,-3.86,-1.08,-3.85,-1.08,1.09,0.83,-2.77,-2.76,-2.77
28.62,-3.81,-1.04,-3.80,-1.03,1.04,0.78,-2.77,-2.77,-2.77
28.90,-3.76,-0.98,-3.77,-0.99,0.99,0.74,-2.76,-2.77,-2.77
29.19,-3.74,-0.95,-3.73,-0.95,0.96,0.69,-2.77,-2.77,-2.78
29.48,-3.71,-0.93,-3.71,-0.93,0.94,0.64,-2.77,-2.77,-2.77
29.78,-3.70,-0.91,-3.70,-0.92,0.92,0.59,-2.78,-2.79,-2.78
30.08,-3.70,-0.91,-3.69,-0.91,0.90,0.54,-2.80,-2.79,-2.78
30.38,-3.70,-0.90,-3.68,-0.89,0.88,0.49,-2.81,-2.80,-2.79
30.68,-3.65,-0.85,-3.67,-0.87,0.87,0.45,-2.78,-2.80,-2.79
30.99,-3.65,-0.84,-3.65,-0.85,0.85,0.40,-2.80,-2.80,-2.80
31.30,-3.65,-0.84,-3.63,-0.83,0.83,0.35,-2.82,-2.80,-2.80
31.61,-3.60,-0.79,-3.61,-0.81,0.80,0.31,-2.79,-2.81,-2.80
31.93,-3.60,-0.78,-3.59,-0.77,0.77,0.26,-2.82,-2.81,-2.81
32.24,-3.56,-0.73,-3.56,-0.74,0.74,0.21,-2.82,-2.82,-2.82
32.57,-3.53,-0.70,-3.53,-0.71,0.70,0.17,-2.82,-2.82,-2.82
32.89,-3.50,-0.67,-3.49,-0.66,0.66,0.12,-2.83,-2.83,-2.82
33.22,-3.44,-0.60,-3.45,-0.62,0.62,0.07,-2.82,-2.83,-2.83
33.55,-3.41,-0.57,-3.40,-0.57,0.56,0.03,-2.84,-2.84,-2.83
33.89,-3.36,-0.51,-3.35,-0.51,0.51,-0.02,-2.85,-2.85,-2.84
34.23,-3.30,-0.45,-3.30,-0.46,0.45,-0.07,-2.85,-2.85,-2.84
34.57,-3.25,-0.39,-3.24,-0.39,0.39,-0.11,-2.86,-2.85,-2.85
34.92,-3.18,-0.32,-3.18,-0.32,0.33,-0.16,-2.85,-2.85,-2.86
35.27,-3.12,-0.26,-3.13,-0.26,0.27,-0.21,-2.85,-2.86,-2.86
35.62,-3.09,-0.21,-3.08,-0.20,0.21,-0.26,-2.88,-2.87,-2.87
35.97,-3.03,-0.14,-3.03,-0.15,0.15,-0.31,-2.88,-2.88,-2.88
36.33,-2.98,-0.09,-2.98,-0.09,0.09,-0.35,-2.88,-2.89,-2.88
36.70,-2.93,-0.03,-2.93,-0.03,0.03,-0.40,-2.89,-2.89,-2.89
37.06,-2.88,0.03,-2.88,0.02,-0.02,-0.45,-2.90,-2.90,-2.90
37.43,-2.83,0.08,-2.83,0.08,-0.08,-0.50,-2.91,-2.91,-2.90
37.81,-2.78,0.14,-2.77,0.14,-0.14,-0.55,-2.92,-2.92,-2.91
38.19,-2.72,0.21,-2.72,0.20,-0.20,-0.60,-2.92,-2.92,-2.92
38.57,-2.66,0.27,-2.66,0.27,-0.27,-0.65,-2.92,-2.92,-2.92
38.95,-2.60,0.34,-2.60,0.33,-0.33,-0.70,-2.93,-2.93,-2.93
39.34,-2.55,0.40,-2.55,0.39,-0.39,-0.75,-2.94,-2.94,-2.94
39.74,-2.51,0.45,-2.50,0.45,-0.45,-0.80,-2.96,-2.95,-2.95
40.14,-2.45,0.50,-2.45,0.51,-0.51,-0.85,-2.96,-2.96,-2.95
40.54,-2.39,0.57,-2.39,0.57,-0.57,-0.90,-2.96,-2.96,-2.96
40.94,-2.33,0.64,-2.33,0.63,-0.62,-0.95,-2.95,-2.95,-2.96
41.35,-2.29,0.69,-2.28,0.68,-0.67,-1.01,-2.96,-2.96,-2.97
41.76,-2.25,0.73,-2.25,0.73,-0.72,-1.06,-2.97,-2.96,-2.97
42.18,-2.21,0.77,-2.21,0.76,-0.77,-1.11,-2.97,-2.98,-2.97
42.60,-2.18,0.81,-2.17,0.80,-0.82,-1.16,-2.99,-2.99,-2.98
43.03,-2.14,0.85,-2.13,0.85,-0.87,-1.21,-3.00,-3.00,-2.98
43.46,-2.09,0.91,-2.09,0.91,-0.92,-1.26,-3.00,-3.01,-2.99
43.90,-2.04,0.97,-2.04,0.97,-0.97,-1.31,-3.01,-3.01,-3.01
44.33,-2.00,1.03,-1.99,1.03,-1.03,-1.35,-3.03,-3.02,-3.02
44.78,-1.95,1.09,-1.94,1.09,-1.09,-1.40,-3.04,-3.03,-3.03
45.23,-1.89,1.15,-1.89,1.15,-1.15,-1.45,-3.04,-3.04,-3.04
45.68,-1.84,1.22,-1.84,1.22,-1.20,-1.49,-3.04,-3.04,-3.05
46.13,-1.79,1.28,-1.79,1.27,-1.26,-1.53,-3.04,-3.05,-3.06
46.60,-1.76,1.31,-1.75,1.31,-1.30,-1.57,-3.06,-3.06,-3.06
47.06,-1.73,1.35,-1.72,1.35,-1.35,-1.61,-3.08,-3.07,-3.07
47.53,-1.69,1.40,-1.69,1.38,-1.39,-1.65,-3.08,-3.08,-3.08
48.01,-1.67,1.42,-1.67,1.42,-1.43,-1.69,-3.09,-3.10,-3.08
48.49,-1.65,1.46,-1.64,1.46,-1.46,-1.72,-3.11,-3.11,-3.10
48.97,-1.63,1.50,-1.63,1.50,-1.50,-1.75,-3.13,-3.13,-3.12
49.46,-1.60,1.55,-1.60,1.54,-1.53,-1.78,-3.13,-3.14,-3.14
49.96,-1.60,1.57,-1.58,1.57,-1.57,-1.81,-3.17,-3.15,-3.16
50.46,-1.55,1.62,-1.56,1.61,-1.61,-1.84,-3.15,-3.16,-3.16
50.96,-1.55,1.63,-1.54,1.64,-1.64,-1.86,-3.19,-3.18,-3.17
51.47,-1.51,1.69,-1.51,1.67,-1.67,-1.88,-3.18,-3.19,-3.19
51.99,-1.51,1.70,-1.50,1.70,-1.71,-1.90,-3.21,-3.20,-3.20
52.51,-1.46,1.75,-1.47,1.74,-1.74,-1.92,-3.19,-3.21,-3.20
53.03,-1.46,1.76,-1.45,1.77,-1.77,-1.94,-3.22,-3.21,-3.21
53.56,-1.42,1.81,-1.42,1.80,-1.79,-1.95,-3.21,-3.22,-3.22
54.10,-1.41,1.83,-1.41,1.83,-1.82,-1.96,-3.23,-3.23,-3.23
54.64,-1.40,1.85,-1.39,1.85,-1.85,-1.98,-3.25,-3.24,-3.24
55.18,-1.37,1.89,-1.37,1.88,-1.88,-1.99,-3.25,-3.26,-3.25
55.74,-1.37,1.90,-1.36,1.90,-1.91,-2.00,-3.28,-3.27,-3.26
56.29,-1.32,1.95,-1.33,1.94,-1.94,-2.01,-3.25,-3.27,-3.26
56.86,-1.32,1.96,-1.31,1.97,-1.97,-2.01,-3.28,-3.27,-3.27
57.42,-1.27,2.02,-1.28,2.00,-2.00,-2.02,-3.26,-3.27,-3.28
58.00,-1.26,2.03,-1.25,2.03,-2.03,-2.03,-3.29,-3.28,-3.28
58.58,-1.23,2.06,-1.23,2.06,-2.06,-2.04,-3.29,-3.29,-3.28
59.16,-1.20,2.09,-1.20,2.09,-2.10,-2.05,-3.29,-3.29,-3.28
59.76,-1.17,2.12,-1.16,2.12,-2.13,-2.05,-3.30,-3.29,-3.28
60.35,-1.13,2.17,-1.13,2.16,-2.16,-2.06,-3.29,-3.29,-3.29
60.96,-1.11,2.19,-1.11,2.19,-2.19,-2.07,-3.30,-3.30,-3.29
61.57,-1.09,2.23,-1.09,2.22,-2.21,-2.08,-3.30,-3.31,-3.31
62.18,-1.09,2.24,-1.08,2.23,-2.23,-2.09,-3.32,-3.31,-3.32
62.80,-1.09,2.24,-1.08,2.24,-2.24,-2.10,-3.32,-3.32,-3.32
63.43,-1.09,2.25,-1.09,2.24,-2.23,-2.11,-3.32,-3.32,-3.33
64.07,-1.11,2.23,-1.11,2.22,-2.21,-2.12,-3.32,-3.32,-3.33
64.71,-1.14,2.20,-1.14,2.19,-2.18,-2.13,-3.32,-3.33,-3.33
65.35,-1.20,2.14,-1.19,2.14,-2.14,-2.15,-3.34,-3.33,-3.33
66.01,-1.25,2.09,-1.24,2.09,-2.09,-2.16,-3.34,-3.33,-3.33
66.67,-1.30,2.04,-1.30,2.03,-2.02,-2.18,-3.32,-3.32,-3.33
67.33,-1.36,1.98,-1.36,1.97,-1.95,-2.19,-3.31,-3.32,-3.33
68.01,-1.44,1.90,-1.44,1.90,-1.88,-2.21,-3.32,-3.32,-3.33
68.69,-1.52,1.82,-1.51,1.82,-1.81,-2.23,-3.33,-3.32,-3.33
69.37,-1.59,1.75,-1.59,1.74,-1.75,-2.25,-3.33,-3.34,-3.33
70.07,-1.65,1.69,-1.65,1.68,-1.70,-2.27,-3.35,-3.35,-3.33
70.77,-1.69,1.64,-1.68,1.64,-1.67,-2.29,-3.36,-3.35,-3.32
71.48,-1.69,1.64,-1.69,1.63,-1.67,-2.31,-3.35,-3.36,-3.32
72.19,-1.67,1.66,-1.66,1.66,-1.69,-2.33,-3.35,-3.35,-3.32
72.91,-1.62,1.71,-1.61,1.71,-1.73,-2.36,-3.35,-3.34,-3.32
73.64,-1.52,1.81,-1.53,1.79,-1.79,-2.38,-3.31,-3.32,-3.32
74.38,-1.44,1.88,-1.43,1.88,-1.88,-2.41,-3.31,-3.31,-3.31
75.12,-1.33,1.99,-1.33,1.98,-1.97,-2.43,-3.30,-3.30,-3.31
75.87,-1.22,2.09,-1.22,2.08,-2.07,-2.46,-3.29,-3.29,-3.30
76.63,-1.11,2.19,-1.11,2.19,-2.18,-2.49,-3.29,-3.29,-3.29
77.40,-1.00,2.29,-1.00,2.29,-2.28,-2.51,-3.28,-3.28,-3.28
78.17,-0.90,2.39,-0.89,2.38,-2.38,-2.54,-3.28,-3.28,-3.28
78.95,-0.79,2.48,-0.79,2.48,-2.47,-2.57,-3.26,-3.26,-3.26
79.74,-0.70,2.56,-0.69,2.56,-2.56,-2.60,-3.26,-3.25,-3.25
80.54,-0.59,2.66,-0.60,2.64,-2.64,-2.63,-3.23,-3.24,-3.24
81.35,-0.53,2.71,-0.52,2.71,-2.71,-2.66,-3.24,-3.23,-3.23
82.16,-0.44,2.79,-0.44,2.78,-2.77,-2.69,-3.21,-3.21,-3.22
82.98,-0.38,2.83,-0.38,2.83,-2.83,-2.71,-3.20,-3.20,-3.20
83.81,-0.32,2.89,-0.32,2.88,-2.87,-2.74,-3.19,-3.19,-3.20
84.65,-0.29,2.91,-0.28,2.91,-2.91,-2.77,-3.19,-3.19,-3.19
85.50,-0.25,2.93,-0.24,2.94,-2.94,-2.80,-3.18,-3.18,-3.17
86.35,-0.20,2.97,-0.21,2.96,-2.96,-2.83,-3.16,-3.17,-3.16
87.22,-0.17,2.99,-0.17,2.98,-2.98,-2.86,-3.15,-3.15,-3.15
88.09,-0.16,2.99,-0.14,2.99,-3.00,-2.88,-3.16,-3.14,-3.14
88.97,-0.11,3.02,-0.12,3.01,-3.01,-2.91,-3.12,-3.13,-3.12
89.86,-0.10,3.02,-0.09,3.03,-3.03,-2.93,-3.13,-3.12,-3.11
90.76,-0.06,3.06,-0.06,3.04,-3.05,-2.96,-3.10,-3.11,-3.11
91.66,-0.04,3.06,-0.04,3.06,-3.06,-2.98,-3.10,-3.10,-3.09
92.58,-0.02,3.08,-0.01,3.08,-3.08,-3.01,-3.09,-3.08,-3.09
93.51,0.02,3.10,0.01,3.09,-3.09,-3.03,-3.07,-3.08,-3.07
94.44,0.03,3.10,0.04,3.10,-3.10,-3.05,-3.07,-3.06,-3.06
95.39,0.05,3.11,0.06,3.11,-3.11,-3.07,-3.06,-3.05,-3.05
96.34,0.08,3.14,0.07,3.12,-3.12,-3.09,-3.04,-3.05,-3.05
97.30,0.08,3.13,0.08,3.12,-3.12,-3.10,-3.04,-3.04,-3.04
98.28,0.08,3.12,0.09,3.13,-3.13,-3.12,-3.04,-3.03,-3.03
99.26,0.10,3.13,0.10,3.13,-3.13,-3.13,-3.02,-3.02,-3.02
100.25,0.12,3.14,0.12,3.13,-3.12,-3.15,-3.00,-3.01,-3.01
101.25,0.12,3.13,0.12,3.13,-3.12,-3.16,-3.00,-3.00,-3.00
102.27,0.12,3.12,0.12,3.12,-3.12,-3.17,-2.99,-2.99,-2.99
103.29,0.12,3.12,0.12,3.11,-3.11,-3.18,-2.99,-2.99,-2.99
104.32,0.12,3.10,0.12,3.10,-3.11,-3.18,-2.99,-2.99,-2.97
105.37,0.12,3.09,0.13,3.10,-3.11,-3.19,-2.98,-2.97,-2.96
106.42,0.15,3.11,0.15,3.10,-3.11,-3.20,-2.95,-2.96,-2.95
107.48,0.17,3.12,0.16,3.11,-3.10,-3.20,-2.93,-2.94,-2.94
108.56,0.17,3.12,0.17,3.11,-3.10,-3.20,-2.93,-2.93,-2.94
109.64,0.17,3.11,0.17,3.11,-3.10,-3.20,-2.93,-2.92,-2.93
110.74,0.17,3.10,0.17,3.10,-3.10,-3.20,-2.93,-2.93,-2.92
111.85,0.17,3.09,0.17,3.09,-3.09,-3.20,-2.92,-2.92,-2.91
112.97,0.17,3.10,0.17,3.09,-3.09,-3.20,-2.92,-2.92,-2.92
114.10,0.17,3.09,0.17,3.09,-3.09,-3.20,-2.91,-2.91,-2.91
115.24,0.17,3.09,0.17,3.09,-3.09,-3.19,-2.91,-2.91,-2.91
116.39,0.17,3.09,0.17,3.08,-3.09,-3.19,-2.92,-2.92,-2.91
117.55,0.17,3.09,0.17,3.08,-3.09,-3.18,-2.92,-2.92,-2.91
118.73,0.17,3.09,0.18,3.09,-3.10,-3.17,-2.92,-2.92,-2.91
119.92,0.19,3.10,0.20,3.10,-3.10,-3.17,-2.91,-2.90,-2.90
121.12,0.22,3.13,0.21,3.11,-3.10,-3.16,-2.88,-2.89,-2.90
122.33,0.22,3.13,0.22,3.12,-3.11,-3.15,-2.89,-2.89,-2.90
123.55,0.22,3.12,0.23,3.12,-3.12,-3.14,-2.89,-2.89,-2.89
124.79,0.22,3.12,0.22,3.11,-3.12,-3.13,-2.90,-2.90,-2.89
126.03,0.22,3.12,0.22,3.12,-3.13,-3.12,-2.91,-2.91,-2.89
127.29,0.22,3.12,0.23,3.13,-3.14,-3.11,-2.92,-2.91,-2.89
128.57,0.25,3.16,0.25,3.15,-3.14,-3.10,-2.89,-2.90,-2.90
129.85,0.26,3.17,0.26,3.16,-3.15,-3.09,-2.88,-2.89,-2.90
131.15,0.26,3.17,0.27,3.17,-3.15,-3.09,-2.89,-2.89,-2.90
132.46,0.26,3.17,0.26,3.16,-3.16,-3.08,-2.89,-2.89,-2.90
133.79,0.26,3.16,0.26,3.16,-3.16,-3.07,-2.90,-2.90,-2.89
135.12,0.26,3.17,0.26,3.16,-3.17,-3.06,-2.91,-2.91,-2.90
136.48,0.26,3.16,0.26,3.16,-3.17,-3.05,-2.91,-2.91,-2.89
137.84,0.26,3.16,0.27,3.17,-3.18,-3.04,-2.92,-2.91,-2.89
139.22,0.29,3.20,0.28,3.18,-3.18,-3.04,-2.89,-2.90,-2.90
140.61,0.29,3.20,0.30,3.19,-3.18,-3.03,-2.89,-2.89,-2.90
142.02,0.30,3.19,0.31,3.20,-3.18,-3.02,-2.88,-2.88,-2.88
143.44,0.31,3.20,0.31,3.20,-3.18,-3.02,-2.87,-2.87,-2.88
144.87,0.31,3.20,0.31,3.19,-3.18,-3.01,-2.87,-2.87,-2.88
146.32,0.29,3.18,0.29,3.17,-3.17,-3.01,-2.88,-2.88,-2.88
147.78,0.26,3.14,0.27,3.15,-3.16,-3.00,-2.90,-2.89,-2.87
149.26,0.26,3.14,0.27,3.14,-3.15,-3.00,-2.89,-2.89,-2.87
150.75,0.26,3.15,0.26,3.14,-3.14,-3.00,-2.87,-2.88,-2.88
152.26,0.26,3.15,0.25,3.14,-3.12,-2.99,-2.86,-2.87,-2.88
153.78,0.22,3.11,0.23,3.12,-3.11,-2.99,-2.89,-2.88,-2.88
155.32,0.22,3.12,0.21,3.10,-3.10,-2.99,-2.88,-2.89,-2.89
156.88,0.17,3.07,0.19,3.09,-3.09,-2.99,-2.92,-2.90,-2.89
158.44,0.17,3.08,0.17,3.08,-3.08,-2.99,-2.91,-2.91,-2.90
160.03,0.17,3.09,0.15,3.06,-3.07,-2.99,-2.90,-2.92,-2.91
161.63,0.12,3.05,0.14,3.07,-3.06,-2.99,-2.94,-2.92,-2.92
163.24,0.12,3.06,0.12,3.05,-3.05,-3.00,-2.93,-2.93,-2.93
164.88,0.12,3.06,0.10,3.04,-3.04,-3.00,-2.92,-2.94,-2.93
166.53,0.08,3.03,0.10,3.04,-3.04,-3.00,-2.95,-2.93,-2.94
168.19,0.08,3.04,0.08,3.03,-3.03,-3.00,-2.95,-2.95,-2.95
169.87,0.08,3.05,0.06,3.03,-3.03,-3.01,-2.94,-2.96,-2.96
171.57,0.03,3.01,0.05,3.02,-3.03,-3.01,-2.99,-2.98,-2.97
173.29,0.03,3.02,0.04,3.02,-3.03,-3.02,-3.00,-2.99,-2.98
175.02,0.03,3.03,0.03,3.02,-3.04,-3.02,-3.00,-3.01,-2.99
176.77,0.03,3.05,0.03,3.05,-3.05,-3.02,-3.01,-3.01,-3.01
178.54,0.03,3.07,0.03,3.06,-3.06,-3.03,-3.03,-3.03,-3.03
180.32,0.03,3.08,0.03,3.08,-3.07,-3.03,-3.04,-3.04,-3.04
182.13,0.03,3.09,0.03,3.09,-3.09,-3.04,-3.06,-3.06,-3.05
183.95,0.03,3.11,0.03,3.10,-3.10,-3.04,-3.07,-3.07,-3.07
185.79,0.03,3.12,0.03,3.12,-3.12,-3.04,-3.08,-3.08,-3.08
187.65,0.03,3.14,0.03,3.14,-3.12,-3.05,-3.09,-3.09,-3.10
189.52,0.03,3.15,0.02,3.14,-3.13,-3.05,-3.10,-3.10,-3.11
191.42,0.01,3.14,0.01,3.13,-3.13,-3.05,-3.12,-3.12,-3.12
193.33,-0.02,3.12,-0.01,3.13,-3.14,-3.05,-3.15,-3.14,-3.13
195.27,-0.02,3.13,-0.02,3.13,-3.14,-3.06,-3.15,-3.15,-3.14
197.22,-0.02,3.14,-0.02,3.13,-3.13,-3.06,-3.15,-3.16,-3.15
199.19,-0.03,3.15,-0.03,3.13,-3.13,-3.06,-3.16,-3.16,-3.17
201.18,-0.06,3.12,-0.04,3.13,-3.12,-3.05,-3.18,-3.17,-3.17
203.19,-0.06,3.12,-0.05,3.12,-3.12,-3.05,-3.17,-3.17,-3.17
205.23,-0.06,3.13,-0.07,3.11,-3.11,-3.05,-3.17,-3.18,-3.18
207.28,-0.08,3.10,-0.08,3.10,-3.10,-3.04,-3.18,-3.18,-3.17
209.35,-0.11,3.08,-0.10,3.09,-3.09,-3.04,-3.20,-3.19,-3.18
211.44,-0.11,3.09,-0.10,3.08,-3.08,-3.03,-3.19,-3.18,-3.19
213.56,-0.11,3.08,-0.11,3.07,-3.07,-3.02,-3.17,-3.18,-3.18
215.69,-0.11,3.07,-0.12,3.05,-3.05,-3.01,-3.16,-3.18,-3.17
217.85,-0.16,3.02,-0.14,3.04,-3.03,-3.00,-3.19,-3.17,-3.17
220.03,-0.16,3.02,-0.16,3.02,-3.02,-2.99,-3.17,-3.17,-3.17
222.23,-0.16,3.02,-0.18,2.99,-2.99,-2.98,-3.15,-3.17,-3.17
224.45,-0.20,2.96,-0.18,2.98,-2.97,-2.96,-3.17,-3.15,-3.15
226.70,-0.20,2.95,-0.19,2.95,-2.94,-2.95,-3.14,-3.14,-3.14
228.96,-0.20,2.94,-0.21,2.92,-2.92,-2.93,-3.12,-3.13,-3.13
231.25,-0.23,2.89,-0.22,2.89,-2.90,-2.91,-3.12,-3.12,-3.11
233.57,-0.25,2.86,-0.24,2.87,-2.87,-2.89,-3.12,-3.11,-3.10
235.90,-0.25,2.85,-0.25,2.84,-2.85,-2.87,-3.10,-3.10,-3.09
238.26,-0.25,2.84,-0.25,2.83,-2.83,-2.85,-3.08,-3.08,-3.08
240.64,-0.25,2.82,-0.25,2.82,-2.81,-2.82,-3.06,-3.06,-3.06
243.05,-0.25,2.80,-0.25,2.80,-2.79,-2.80,-3.04,-3.04,-3.04
245.48,-0.25,2.78,-0.25,2.78,-2.77,-2.77,-3.02,-3.02,-3.02
247.93,-0.25,2.76,-0.25,2.76,-2.75,-2.74,-2.99,-2.99,-3.00
250.41,-0.25,2.75,-0.26,2.73,-2.72,-2.71,-2.97,-2.98,-2.99
252.92,-0.27,2.70,-0.27,2.69,-2.69,-2.68,-2.96,-2.96,-2.96
255.45,-0.30,2.64,-0.29,2.65,-2.66,-2.65,-2.96,-2.95,-2.93
258.00,-0.30,2.62,-0.30,2.61,-2.63,-2.62,-2.93,-2.93,-2.91
260.58,-0.30,2.60,-0.30,2.59,-2.60,-2.59,-2.89,-2.90,-2.89
263.19,-0.30,2.57,-0.29,2.57,-2.56,-2.55,-2.86,-2.85,-2.86
265.82,-0.30,2.55,-0.30,2.54,-2.53,-2.52,-2.83,-2.83,-2.84
268.48,-0.30,2.52,-0.31,2.50,-2.50,-2.48,-2.80,-2.81,-2.81
271.16,-0.34,2.45,-0.32,2.46,-2.47,-2.45,-2.81,-2.79,-2.78
273.87,-0.34,2.43,-0.34,2.42,-2.44,-2.41,-2.77,-2.77,-2.76
276.61,-0.34,2.40,-0.34,2.40,-2.40,-2.38,-2.74,-2.74,-2.73
279.38,-0.34,2.38,-0.33,2.38,-2.37,-2.34,-2.71,-2.70,-2.71
282.17,-0.34,2.36,-0.34,2.35,-2.34,-2.30,-2.67,-2.68,-2.69
284.99,-0.35,2.32,-0.36,2.31,-2.30,-2.27,-2.65,-2.66,-2.66
287.84,-0.39,2.26,-0.37,2.27,-2.27,-2.23,-2.66,-2.65,-2.64
290.72,-0.39,2.23,-0.39,2.23,-2.24,-2.19,-2.63,-2.63,-2.61
293.63,-0.39,2.21,-0.39,2.20,-2.21,-2.15,-2.59,-2.59,-2.59
296.57,-0.39,2.18,-0.39,2.18,-2.17,-2.12,-2.56,-2.56,-2.56
299.53,-0.39,2.16,-0.40,2.14,-2.13,-2.08,-2.52,-2.54,-2.54
302.53,-0.44,2.09,-0.42,2.10,-2.09,-2.04,-2.53,-2.51,-2.52
305.55,-0.44,2.05,-0.43,2.06,-2.06,-2.00,-2.49,-2.49,-2.48
308.61,-0.44,2.03,-0.45,2.01,-2.02,-1.97,-2.45,-2.46,-2.46
311.69,-0.45,1.99,-0.45,1.97,-1.98,-1.93,-2.42,-2.43,-2.43
314.81,-0.48,1.92,-0.46,1.94,-1.94,-1.89,-2.41,-2.40,-2.39
317.96,-0.48,1.90,-0.48,1.89,-1.90,-1.86,-2.37,-2.37,-2.37
321.14,-0.48,1.88,-0.50,1.85,-1.86,-1.82,-2.33,-2.35,-2.35
324.35,-0.53,1.81,-0.51,1.82,-1.82,-1.78,-2.34,-2.32,-2.33
327.59,-0.53,1.78,-0.53,1.78,-1.78,-1.75,-2.31,-2.30,-2.30
330.87,-0.53,1.76,-0.55,1.74,-1.74,-1.71,-2.27,-2.29,-2.28
334.18,-0.57,1.70,-0.56,1.70,-1.71,-1.68,-2.27,-2.26,-2.26
337.52,-0.58,1.67,-0.57,1.67,-1.67,-1.65,-2.25,-2.24,-2.24
340.90,-0.58,1.64,-0.58,1.64,-1.64,-1.61,-2.22,-2.22,-2.21
344.30,-0.58,1.62,-0.58,1.61,-1.61,-1.58,-2.19,-2.19,-2.19
347.75,-0.58,1.60,-0.59,1.58,-1.58,-1.55,-2.16,-2.17,-2.17
351.23,-0.62,1.54,-0.60,1.55,-1.55,-1.52,-2.17,-2.15,-2.15
354.74,-0.62,1.52,-0.61,1.52,-1.52,-1.48,-2.14,-2.14,-2.13
358.28,-0.62,1.50,-0.62,1.49,-1.49,-1.45,-2.11,-2.11,-2.11
361.87,-0.62,1.48,-0.63,1.47,-1.46,-1.42,-2.08,-2.09,-2.09
365.49,-0.64,1.44,-0.64,1.43,-1.43,-1.39,-2.07,-2.07,-2.07
369.14,-0.67,1.40,-0.65,1.41,-1.40,-1.36,-2.07,-2.05,-2.06
372.83,-0.67,1.38,-0.67,1.37,-1.37,-1.33,-2.04,-2.04,-2.04
376.56,-0.67,1.37,-0.69,1.34,-1.34,-1.31,-2.01,-2.03,-2.03
380.33,-0.72,1.29,-0.70,1.31,-1.31,-1.28,-2.03,-2.02,-2.00
384.13,-0.72,1.28,-0.71,1.28,-1.29,-1.25,-2.00,-2.00,-1.99
